#Exp.ExpName  = Moving ripples:-40:8:40 Hz, 0:0.4:2 cycles/octave 
#Exp.Ntest    =       61
#Exp.Npresent =        1
#Exp.Ntarget  =        3

#Sig.Board    = Das16
#Sig.SigType  = Eh-S1-Ev-S2
#Sig.Fsample  =      500
#Sig.Nsample  =     1750
#Sig.Nbuffer  =        1
#Sig.Nchannel =        4
#Sig.ExtTrig  =        0

Nr Mode    R   Phi    On     Off  Int Att Mode    R   Phi    On     Off  Int Att Mode    R   Phi    On     Off  Int Att 
#40   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 21608    1   0.0 300.0  400.0 2900.0  7    1   
#41   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 10004    1   0.0 300.0  400.0 2900.0  7    1   
#42   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 13216    1   0.0 300.0  400.0 2900.0  7    1   
#43   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 21620    1   0.0 300.0  402.0 2900.0  7    1   
#44   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 12412    1   0.0 300.0  400.0 2900.0  7    1   
#45   0   0.0 300.0 -100.0  406.0  7    1    2   0.0   0.0  400.0 2900.0  7 20820    1   0.0 300.0  400.0 2900.0  7    1   
#46   0   0.0 300.0 -100.0  406.0  7    1    2   0.0   0.0  400.0 2900.0  7 20816    1   0.0 300.0  400.0 2902.0  7    1   
#47   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 21612    1   0.0 300.0  400.0 2900.0  7    1   
#48   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 13204    1   0.0 300.0  400.0 2900.0  7    1   
#49   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 12420    1   0.0 300.0  400.0 2900.0  7    1   
#50   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 11604    1   0.0 300.0  400.0 2900.0  7    1   
#51   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 10020    1   0.0 300.0  400.0 2900.0  7    1   
#52   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 22404    1   0.0 300.0  400.0 2900.0  7    1   
#53   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 21616    1   0.0 300.0  402.0 2900.0  7    1   
#54   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 12408    1   0.0 300.0  400.0 2904.0  7    1   
#55   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 14020    1   0.0 300.0  400.0 2900.0  7    1   
#56   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 11612    1   0.0 300.0  400.0 2900.0  7    1   
#57   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 12400    1   0.0 300.0  400.0 2900.0  7    1   
#58   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 13220    1   0.0 300.0  400.0 2900.0  7    1   
#59   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 14008    1   0.0 300.0  400.0 2900.0  7    1   
#60   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 14012    1   0.0 300.0  400.0 2900.0  7    1   
#61   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 10804    1   0.0 300.0  400.0 2900.0  7    1   
