#Exp.ExpName  = calrose
#Exp.Ntest    =       72
#Exp.Npresent =        1
#Exp.Ntarget  =        2

#Sig.Board    = Das16
#Sig.SigType  = Eh-S1-Ev-S2
#Sig.Fsample  =      500
#Sig.Nsample  =     1000
#Sig.Nbuffer  =        1
#Sig.Nchannel =        4
#Sig.ExtTrig  =        0

Nr Mode    R   Phi    On     Off  Int Att Mode    R   Phi    On     Off  Int Att 
#60   0   0.0 300.0 -800.0  400.0  7    2    1   2.0 150.0  400.0 1300.0  7    2   
#61   0   0.0 300.0 -800.0  400.0  7    2    1   5.0  60.0  400.0 1300.0  7    2   
#62   0   0.0 300.0 -800.0  400.0  7    2    1   9.0  90.0  402.0 1300.0  7    2   
#63   0   0.0 300.0 -800.0  400.0  7    2    1   9.0 120.0  402.0 1300.0  7    2   
#64   0   0.0 300.0 -800.0  400.0  7    2    1   5.0 240.0  402.0 1300.0  7    2   
#65   0   0.0 300.0 -800.0  400.0  7    2    1   5.0  90.0  402.0 1300.0  7    2   
#66   0   0.0 300.0 -800.0  400.0  7    2    1   9.0  30.0  402.0 1300.0  7    2   
#67   0   0.0 300.0 -800.0  400.0  7    2    1  27.0 330.0  400.0 1300.0  7    2   
#68   0   0.0 300.0 -800.0  400.0  7    2    1  20.0 150.0  400.0 1300.0  7    2   
#69   0   0.0 300.0 -800.0  400.0  7    2    1   9.0 150.0  400.0 1300.0  7    2   
#70   0   0.0 300.0 -800.0  400.0  7    2    1   2.0 180.0  400.0 1300.0  7    2   
#71   0   0.0 300.0 -800.0  400.0  7    2    1   2.0  90.0  400.0 1300.0  7    2   
#72   0   0.0 300.0 -800.0  400.0  7    2    1  20.0 120.0  402.0 1300.0  7    2   
