time 1,marker 1,diam 1,xgaze 1,ygaze 1,time 2,marker 2,diam 2,xgaze 2,ygaze 2,time 3,marker 3,diam 3,xgaze 3,ygaze 3,time 4,marker 4,diam 4,xgaze 4,ygaze 4,time 5,marker 5,diam 5,xgaze 5,ygaze 5,time 6,marker 6,diam 6,xgaze 6,ygaze 6,time 7,marker 7,diam 7,xgaze 7,ygaze 7,time 8,marker 8,diam 8,xgaze 8,ygaze 8,time 9,marker 9,diam 9,xgaze 9,ygaze 9,time 10,marker 10,diam 10,xgaze 10,ygaze 10,time 11,marker 11,diam 11,xgaze 11,ygaze 11,time 12,marker 12,diam 12,xgaze 12,ygaze 12,time 13,marker 13,diam 13,xgaze 13,ygaze 13,time 14,marker 14,diam 14,xgaze 14,ygaze 14,time 15,marker 15,diam 15,xgaze 15,ygaze 15,time 16,marker 16,diam 16,xgaze 16,ygaze 16,time 17,marker 17,diam 17,xgaze 17,ygaze 17,time 18,marker 18,diam 18,xgaze 18,ygaze 18,time 19,marker 19,diam 19,xgaze 19,ygaze 19,time 20,marker 20,diam 20,xgaze 20,ygaze 20,time 21,marker 21,diam 21,xgaze 21,ygaze 21,time 22,marker 22,diam 22,xgaze 22,ygaze 22,time 23,marker 23,diam 23,xgaze 23,ygaze 23,time 24,marker 24,diam 24,xgaze 24,ygaze 24,time 25,marker 25,diam 25,xgaze 25,ygaze 25,time 26,marker 26,diam 26,xgaze 26,ygaze 26,time 27,marker 27,diam 27,xgaze 27,ygaze 27,time 28,marker 28,diam 28,xgaze 28,ygaze 28,,,,,,,,,,
0.000,1,4.63,0,0,0.000,1,4.57,0,0,0.000,1,0.00,0,0,0.000,1,4.87,0,0,0.000,1,5.06,0,0,0.000,1,4.87,0,0,0.000,1,5.53,0,0,0.000,1,4.95,0,0,0.000,1,5.17,0,0,0.000,1,5.10,0,0,0.000,1,0.00,0,0,0.000,1,4.79,0,0,0.000,1,5.30,0,0,0.000,1,5.01,0,0,0.000,1,5.03,0,0,0.000,1,5.11,0,0,0.000,1,5.10,0,0,0.000,1,5.24,0,0,0.000,1,4.85,0,0,0.000,1,5.00,0,0,0.000,1,4.99,0,0,0.000,1,4.96,0,0,0.000,1,5.10,0,0,0.000,1,5.12,0,0,0.000,1,4.45,0,0,0.000,1,4.82,0,0,0.000,1,4.87,0,0,0.000,1,5.21,0,0,,,,,,,,,,
16.554,,4.65,0,0,0.000,,4.57,0,0,0.000,,0.00,0,0,16.747,,4.91,0,0,0.000,,5.06,0,0,0.000,,4.87,0,0,0.000,,5.53,0,0,16.716,,4.90,0,0,0.000,,5.17,0,0,0.000,,5.10,0,0,0.000,,0.00,0,0,16.624,,4.81,0,0,0.000,,5.30,0,0,16.668,,5.02,0,0,0.000,,5.03,0,0,0.000,,5.11,0,0,0.000,,5.10,0,0,0.000,,5.24,0,0,0.000,,4.85,0,0,0.000,,5.00,0,0,0.000,,4.99,0,0,0.000,,4.96,0,0,16.759,,5.04,0,0,0.000,,5.12,0,0,0.000,,4.45,0,0,0.000,,4.82,0,0,0.000,,4.87,0,0,16.633,,5.21,0,0,,,,,,,,,,
33.290,,4.55,0,0,0.000,,4.57,0,0,0.000,,0.00,0,0,16.747,,4.91,0,0,0.000,,5.06,0,0,0.000,,4.87,0,0,0.000,,5.53,0,0,16.716,,4.90,0,0,0.000,,5.17,0,0,16.750,,5.14,0,0,0.000,,0.00,0,0,16.624,,4.81,0,0,0.000,,5.30,0,0,16.668,,5.02,0,0,0.000,,5.03,0,0,0.000,,5.11,0,0,0.000,,5.10,0,0,0.000,,5.24,0,0,0.000,,4.85,0,0,16.622,,5.02,0,0,0.000,,4.99,0,0,16.534,,4.97,0,0,16.759,,5.04,0,0,0.000,,5.12,0,0,16.626,,4.51,0,0,0.000,,4.82,0,0,0.000,,4.87,0,0,16.633,,5.21,0,0,,,,,,,,,,
49.914,,4.54,0,0,0.000,,4.57,0,0,16.581,,5.08,0,0,16.747,,4.91,0,0,0.000,,5.06,0,0,0.000,,4.87,0,0,0.000,,5.53,0,0,16.716,,4.90,0,0,16.627,,5.16,0,0,16.750,,5.14,0,0,16.749,,5.11,0,0,16.624,,4.81,0,0,0.000,,5.30,0,0,16.668,,5.02,0,0,16.626,,5.03,0,0,0.000,,5.11,0,0,16.621,,5.08,0,0,0.000,,5.24,0,0,16.711,,4.80,0,0,16.622,,5.02,0,0,0.000,,4.99,0,0,16.534,,4.97,0,0,16.759,,5.04,0,0,0.000,,5.12,0,0,16.626,,4.51,0,0,0.000,,4.82,0,0,16.557,,4.86,0,0,16.633,,5.21,0,0,,,,,,,,,,
66.592,,4.52,0,0,16.615,,4.58,0,0,16.581,,5.08,0,0,16.747,,4.91,0,0,16.572,,5.04,0,0,16.575,,4.88,0,0,16.670,,5.49,0,0,16.716,,4.90,0,0,33.344,,5.10,0,0,16.750,,5.14,0,0,16.749,,5.11,0,0,16.624,,4.81,0,0,0.000,,5.30,0,0,16.668,,5.02,0,0,16.626,,5.03,0,0,0.000,,5.11,0,0,16.621,,5.08,0,0,0.000,,5.24,0,0,16.711,,4.80,0,0,16.622,,5.02,0,0,0.000,,4.99,0,0,16.534,,4.97,0,0,16.759,,5.04,0,0,0.000,,5.12,0,0,16.626,,4.51,0,0,0.000,,4.82,0,0,16.557,,4.86,0,0,16.633,,5.21,0,0,,,,,,,,,,
83.290,,4.51,0,0,33.377,,4.60,0,0,33.202,,5.11,0,0,33.426,,4.84,0,0,33.195,,4.93,0,0,16.575,,4.88,0,0,33.279,,5.49,0,0,33.344,,4.91,0,0,50.002,,5.10,0,0,33.469,,5.14,0,0,33.428,,0.00,0,0,33.398,,4.71,0,0,0.000,,5.30,0,0,33.374,,5.02,0,0,33.472,,4.98,0,0,16.790,,5.09,0,0,33.336,,5.12,0,0,16.623,,5.24,0,0,33.336,,4.74,0,0,33.395,,5.06,0,0,0.000,,4.99,0,0,33.278,,4.96,0,0,33.425,,5.02,0,0,16.618,,5.15,0,0,33.383,,4.57,0,0,0.000,,4.82,0,0,33.168,,4.85,0,0,33.418,,5.22,0,0,,,,,,,,,,
99.914,,4.47,0,0,50.041,,4.61,0,0,50.034,,5.15,0,0,49.997,,4.84,0,0,50.040,,4.91,0,0,33.198,,4.90,0,0,49.903,,5.56,0,0,49.989,,4.91,0,0,66.625,,5.14,0,0,50.004,,5.14,0,0,50.023,,4.98,0,0,50.042,,4.83,0,0,16.574,,5.29,0,0,50.001,,5.04,0,0,50.001,,4.96,0,0,33.363,,5.12,0,0,49.960,,5.10,0,0,33.212,,5.27,0,0,50.050,,4.84,0,0,50.042,,5.05,0,0,16.690,,4.98,0,0,49.904,,4.99,0,0,50.001,,5.02,0,0,33.372,,5.17,0,0,50.045,,4.58,0,0,16.624,,4.84,0,0,49.920,,4.86,0,0,50.001,,5.23,0,0,,,,,,,,,,
116.539,,4.46,0,0,66.615,,4.62,0,0,66.596,,5.16,0,0,66.751,,4.84,0,0,66.581,,4.92,0,0,49.972,,4.86,0,0,66.731,,5.45,0,0,66.755,,4.92,0,0,83.253,,5.14,0,0,66.749,,5.15,0,0,66.747,,4.96,0,0,66.626,,4.94,0,0,33.325,,5.24,0,0,66.643,,5.04,0,0,66.625,,4.93,0,0,49.989,,5.10,0,0,66.679,,5.13,0,0,49.960,,5.27,0,0,66.721,,4.80,0,0,66.620,,5.05,0,0,33.281,,4.98,0,0,66.572,,4.94,0,0,66.750,,4.97,0,0,50.036,,5.17,0,0,66.622,,4.60,0,0,33.487,,4.87,0,0,66.589,,4.87,0,0,66.624,,5.21,0,0,,,,,,,,,,
133.341,,4.45,0,0,83.365,,4.61,0,0,83.202,,5.14,0,0,83.394,,4.88,0,0,83.194,,4.91,0,0,66.623,,4.74,0,0,83.290,,5.37,0,0,83.339,,4.84,0,0,100.058,,5.17,0,0,83.380,,5.15,0,0,83.372,,0.00,0,0,83.372,,5.04,0,0,49.959,,5.24,0,0,83.420,,5.00,0,0,83.378,,4.90,0,0,66.759,,5.08,0,0,83.338,,5.10,0,0,66.694,,5.29,0,0,83.333,,4.74,0,0,83.371,,5.01,0,0,49.998,,4.98,0,0,83.280,,4.95,0,0,83.392,,4.95,0,0,66.620,,5.29,0,0,83.249,,4.65,0,0,50.000,,4.85,0,0,83.168,,4.87,0,0,83.388,,5.20,0,0,,,,,,,,,,
149.913,,4.45,0,0,99.999,,4.58,0,0,116.623,,5.15,0,0,100.040,,4.92,0,0,99.943,,4.92,0,0,83.198,,4.67,0,0,99.902,,5.27,0,0,99.964,,4.81,0,0,116.629,,5.16,0,0,100.042,,5.12,0,0,100.087,,4.83,0,0,100.009,,5.03,0,0,66.627,,5.22,0,0,99.998,,5.01,0,0,100.047,,4.90,0,0,83.409,,5.12,0,0,99.958,,5.08,0,0,83.217,,5.27,0,0,99.958,,4.78,0,0,100.094,,5.03,0,0,66.623,,4.90,0,0,99.903,,4.92,0,0,100.044,,4.95,0,0,83.369,,5.19,0,0,100.021,,4.62,0,0,66.623,,4.85,0,0,99.918,,4.88,0,0,100.037,,5.19,0,0,,,,,,,,,,
